,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
7860,4.87345,52.33396,4.82726,52.35371,119982.79778029781,483016.34936149773,116851.53036102917,485237.08795517584,23,weekday
7872,4.904719999999999,52.37038,4.910880000000001,52.34494,122141.09488557995,487053.8910142443,122542.00691043795,484220.58895602374,23,weekday
7887,4.92591,52.36526,4.92612,52.3511,123580.56981997224,486474.82722324826,123584.85064834084,484899.2525320483,23,weekday
7854,4.87818,52.39087,4.88443,52.37641,120349.66007186267,489346.0365963431,120763.94315622363,487734.1997613708,23,weekday
7861,4.93046,52.33535,4.90276,52.35757,123869.50430717567,483144.9933673929,121998.08644583782,485629.50323753274,23,weekday
7880,4.9006,52.373090000000005,4.9097599999999995,52.35525,121862.53563410623,487357.2899467057,122473.24392231998,485368.2092672505,23,weekday
7876,4.88927,52.37069,4.90479,52.34158,121089.14306731733,487095.49960050435,122124.53443599344,483849.49139476765,23,weekday
7877,4.875719999999999,52.355259999999994,4.83855,52.391009999999994,120154.2410188369,485385.14238634444,117652.11692785342,489381.30174923874,23,weekday
7874,4.8798,52.35576,4.8831,52.38218,120432.58442302779,485438.8199815755,120677.84462713647,488376.8172141351,23,weekday
7886,4.85746,52.3465,4.84014,52.37622,118903.13822538331,484419.4201115559,117747.92628370482,487734.90510649723,23,weekday
7892,4.88933,52.36646,4.88002,52.38113,121089.99600175946,486624.8292808586,120467.32627243319,488261.4541090043,23,weekday
7884,4.90276,52.35757,4.83854,52.360490000000006,121998.08644583782,485629.50323753274,117625.7263634438,485985.5689754807,23,weekday
7890,4.95675,52.320879999999995,4.88505,52.36192,125651.78795136375,481524.06014430965,120794.99040245208,486121.7072722433,23,weekday
7882,4.88319,52.32486,4.88614,52.353390000000005,120639.6238013949,481999.20448519936,120862.67539460052,485172.12279862625,23,weekday
7883,4.89077,52.35615,4.87025,52.33675,121180.21544746077,485477.03713257564,119766.90389335199,483328.32112664776,23,weekday
7885,4.862019999999999,52.37362,4.88552,52.38776,119235.71893512149,487434.5992249887,120846.90771254097,488996.5229236567,23,weekday
7888,4.85741,52.34675,4.88844,52.370670000000004,118899.93457111948,484447.2605654714,121032.60282516637,487093.66303039354,23,weekday
10067,4.94182,52.39839,4.96444,52.37578,124686.86793159385,490154.2125159147,126211.71042924492,487629.31408343336,23,weekday
10058,4.88555,52.3836,4.87003,52.38436,120845.74576319175,488533.65345216705,119789.70972958728,488625.6413835546,23,weekday
10057,4.95309,52.31729,4.92566,52.35167,125399.86083646739,481126.1163725389,123553.91349678223,484962.87180344644,23,weekday
10079,4.92515,52.35873,4.895969999999999,52.367490000000004,123524.17381340725,485748.60924311256,121543.0154401362,486736.3440897356,23,weekday
10078,4.9124300000000005,52.36965,4.876,52.36862,122665.63605111829,486969.2012274462,120183.80103104243,486871.4774041454,23,weekday
10072,4.90751,52.36785,4.91372,52.35398,122329.23872918959,486771.1341077221,122742.10034880374,485225.13579078147,23,weekday
10076,4.875369999999999,52.345859999999995,4.90674,52.35093,120123.0114353947,484339.4438115987,122264.31689460718,484888.9138439013,23,weekday
10068,4.9324900000000005,52.36527,4.959280000000001,52.31799,124028.74610446126,486473.1077407091,125822.38320043628,481201.4908643338,23,weekday
10083,4.89216,52.36542,4.86508,52.37342,121281.95359185833,486507.7955094084,119443.93758886514,487410.84093174007,23,weekday
10069,4.82011,52.377990000000004,4.8469,52.38013,116385.55366890953,487942.32483730995,118211.48273326433,488166.48928701296,23,weekday
10094,4.8932400000000005,52.40246,4.84529,52.375440000000005,121383.60501825191,490628.4869528378,118097.95939939635,487645.48526201985,23,weekday
10085,4.87637,52.37621,4.87336,52.38475,120214.95269475007,487715.7853740598,120016.72798335933,488667.4212166862,23,weekday
10084,4.89389,52.37707,4.8707199999999995,52.37301,121408.60791297123,487803.2064344532,119827.68538216973,487362.4709454709,23,weekday
10089,4.87579,52.35525,4.86483,52.34386,120159.00198517294,485383.9961096788,119403.20829247613,484122.0430683657,23,weekday
10082,4.85734,52.36465,4.88097,52.36827,118909.72482143811,486438.89259284595,120522.01312116632,486830.15941765945,23,weekday
12148,4.87855,52.390370000000004,4.8846300000000005,52.37677,120374.45593238971,489290.22805233614,120777.8396402114,487774.16000838985,23,weekday
12174,4.828130000000001,52.349959999999996,4.87816,52.39564,116907.58341788738,484819.397557587,120352.02706861861,489876.77266647015,23,weekday
12147,4.9305699999999995,52.36261,4.92342,52.36828,123896.10866436643,486177.9700004019,123413.12408991212,486811.92426385375,23,weekday
12181,4.87078,52.36647,4.88733,52.35096,119826.58609274468,486634.78292435384,120941.88413819237,484901.194972023,23,weekday
12169,4.87978,52.36697,4.88002,52.382870000000004,120439.95426500213,486686.08449817955,120468.68124831744,488455.0520354947,23,weekday
12172,4.89044,52.361670000000004,4.8196900000000005,52.37661,121161.94383423042,486091.3614579384,116355.75307469201,487789.00634901086,23,weekday
12175,4.94371,52.36156,4.85646,52.3543,124790.42411224388,486055.58589453174,118841.35378086241,485287.76441925805,23,weekday
12153,4.98998,52.359840000000005,4.93027,52.37527,127941.1335665544,485845.9340301191,123884.55492188313,487586.69141059986,23,weekday
12178,4.86085,52.328140000000005,4.88432,52.353629999999995,119119.29727614098,482374.9663641865,120738.86611696842,485199.68455839733,23,weekday
12180,4.89232,52.36047,4.93701,52.39763,121289.09060048492,485956.970034678,124358.97399322892,490071.6749517739,23,weekday
12182,4.880809999999999,52.355140000000006,4.838480000000001,52.39105,120500.9089203632,485369.3559639366,117647.38566968635,489385.7883534011,23,weekday
12173,4.82728,52.35373,4.83449,52.34693,116852.91011417739,485239.30267101026,117338.34409257211,484478.94998237374,23,weekday
